County,Season,Infected,Population,Region
WYOMING,2014-2015,81,41008,WESTERN
WYOMING,2015-2016,54,40613,WESTERN
WYOMING,2016-2017,63,40341,WESTERN
WYOMING,2017-2018,284,40125,WESTERN
WYOMING,2018-2019,78,39956,WESTERN
YATES,2009-2010,34,25349,WESTERN
YATES,2010-2011,16,25426,WESTERN
YATES,2011-2012,0,25383,WESTERN
YATES,2012-2013,81,25258,WESTERN
YATES,2013-2014,46,25172,WESTERN
YATES,2014-2015,169,25136,WESTERN
YATES,2015-2016,67,25084,WESTERN
YATES,2016-2017,90,25024,WESTERN
YATES,2017-2018,217,24971,WESTERN
YATES,2018-2019,78,24935,WESTERN
